timestamp,miner_name,miner_ip,hashrate_gh,hashrate_th,power_w,efficiency_jth,temperature_c,vr_temperature_c,fan_speed_rpm,voltage_v,input_voltage_v,frequency_mhz,best_diff,session_diff,accepted_shares,rejected_shares,uptime_s,wifi_rssi,pool_url,worker_name,asic_model,board_version,firmware_version,status
2025-05-29T19:49:00.354001,Gamma-1,192.168.1.45,1503.6656065187553,1.5036656065187552,20.853546142578125,13.868473184578368,59.75,59,3368,1.129,4.875,620,0,0,69,0,267,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:49:00.355001,Gamma-2,192.168.1.46,1192.1975041880312,1.1921975041880313,20.772705078125,17.4238790176571,60,58,3661,1.125,5.0546875,620,0,0,60,0,211,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:49:00.356999,Gamma-3,192.168.1.47,1365.8625225207124,1.3658625225207124,18.60400390625,13.620700179924501,60.125,53,2622,1.129,5.1015625,620,0,0,39,0,159,-54,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:50:00.511186,Gamma-1,192.168.1.45,1447.897433300794,1.4478974333007941,20.889617919921875,14.427553664695358,60.125,59,3351,1.132,4.8671875,620,0,0,87,0,327,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:50:00.512188,Gamma-2,192.168.1.46,1298.3810760337412,1.2983810760337413,20.8087158203125,16.02666289921476,60,58,3661,1.126,5.0546875,620,0,0,83,0,271,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:50:00.514185,Gamma-3,192.168.1.47,1320.9008550317335,1.3209008550317336,18.56787109375,14.056975603444455,60.125,54,2685,1.134,5.109375,620,0,0,54,0,220,-57,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:51:00.750031,Gamma-1,192.168.1.45,1486.43334780142,1.48643334780142,20.853546142578125,14.02925073863726,59.75,59,3377,1.133,4.8828125,620,0,0,107,0,387,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:51:00.751032,Gamma-2,192.168.1.46,1386.2393820216973,1.3862393820216974,20.8087158203125,15.01091087887359,59.75,58,3592,1.129,5.0625,620,0,0,101,0,331,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:51:00.753034,Gamma-3,192.168.1.47,1104.2200633512875,1.1042200633512875,18.60400390625,16.848094436707836,60,54,2627,1.133,5.1015625,620,0,0,68,0,280,-56,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:52:00.993034,Gamma-1,192.168.1.45,1579.09567309544,1.57909567309544,20.961761474609375,13.274535439337154,60.625,60,3564,1.132,4.875,620,0,0,129,0,447,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:52:00.994040,Gamma-2,192.168.1.46,1559.0315697464443,1.5590315697464443,20.8807373046875,13.393402487727348,60,58,3752,1.126,5.0625,620,0,0,124,0,392,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:52:00.995042,Gamma-3,192.168.1.47,1138.8939677896556,1.1388939677896555,18.56787109375,16.30342386463437,60.125,54,2617,1.131,5.1015625,620,0,0,81,0,340,-56,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:53:01.148543,Gamma-1,192.168.1.45,1371.085430614769,1.3710854306147688,20.853546142578125,15.209516254014739,59.625,59,3368,1.132,4.875,620,0,0,148,0,508,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:53:01.149542,Gamma-2,192.168.1.46,1366.6795433324173,1.3666795433324173,20.772705078125,15.199397093099284,59.875,58,3661,1.129,5.0546875,620,0,0,139,0,452,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:53:01.150543,Gamma-3,192.168.1.47,1440.5938090437537,1.4405938090437538,18.60400390625,12.914121794400241,60,54,2617,1.13,5.1015625,620,0,0,105,0,401,-54,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:54:01.895286,Gamma-1,192.168.1.45,1452.7395495808091,1.452739549580809,20.889617919921875,14.379465284021224,60,60,3454,1.129,4.8671875,620,0,0,164,0,568,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:54:01.896288,Gamma-2,192.168.1.46,1240.145417753774,1.2401454177537738,20.8447265625,16.808292208388938,59.875,58,3621,1.129,5.0546875,620,0,0,161,0,513,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:54:01.898291,Gamma-3,192.168.1.47,1454.6911146838147,1.4546911146838146,18.56787109375,12.76413315948921,59.875,54,2617,1.131,5.1015625,620,0,0,126,0,461,-55,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:55:02.108166,Gamma-1,192.168.1.45,1257.559163415384,1.257559163415384,20.961761474609375,16.66860859069221,60.125,60,3573,1.132,4.8125,620,0,0,181,0,629,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:55:02.109167,Gamma-2,192.168.1.46,1371.550909162483,1.3715509091624831,20.87158203125,15.217504426426954,60.25,58,3827,1.125,5.0546875,620,0,0,179,0,573,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:55:02.110166,Gamma-3,192.168.1.47,1244.2688891849368,1.2442688891849367,18.658203125,14.995314346581575,59.875,54,2612,1.132,5.1015625,620,0,0,141,0,522,-56,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:56:03.138162,Gamma-1,192.168.1.45,1232.4403258563812,1.2324403258563812,20.961761474609375,17.00833787635418,60,60,3721,1.133,4.890625,620,0,0,196,0,690,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:56:03.139162,Gamma-2,192.168.1.46,1114.7661198733076,1.1147661198733076,20.8447265625,18.69874423961592,60,58,3805,1.129,5.0625,620,0,0,194,0,634,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:56:03.140160,Gamma-3,192.168.1.47,1081.1469364438444,1.0811469364438444,18.6943359375,17.291207427355086,59.75,54,2538,1.13,5.1015625,620,0,0,159,0,583,-59,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:57:03.806366,Gamma-1,192.168.1.45,1229.5748576062883,1.2295748576062884,20.853546142578125,16.959964668743627,60,60,3490,1.129,4.890625,620,0,0,214,0,751,-44,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:57:03.807367,Gamma-2,192.168.1.46,1140.9179893764654,1.1409179893764654,20.8087158203125,18.238572810728385,60,58,3651,1.129,5.0546875,620,0,0,213,0,695,-40,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.7.1,ONLINE
2025-05-29T19:57:03.809362,Gamma-3,192.168.1.47,1317.2717333110752,1.3172717333110753,18.6220703125,14.136848033390827,60,54,2617,1.132,5.1015625,620,0,0,180,0,643,-54,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.7.1,ONLINE
